id,full_name,first_name_x,last_name_x,is_active,person_id,first_name_y,last_name_y,school,country,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_city,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,edad,años_jugando,undrafted
76001,Alaa Abdelnaby,Alaa,Abdelnaby,0,76001.0,Alaa,Abdelnaby,Duke,USA,6-10,240.0,5.0,30,Forward,Inactive,1610612757.0,Trail Blazers,Portland,1990.0,1994.0,N,Y,Y,1990,1,25,N,57.0,4.0,0
76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,0,76003.0,Kareem,Abdul-Jabbar,UCLA,USA,7-2,225.0,20.0,33,Center,Inactive,1610612747.0,Lakers,Los Angeles,1969.0,1988.0,N,Y,Y,1969,1,1,Y,78.0,19.0,0
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,0,1505.0,Tariq,Abdul-Wahad,San Jose State,France,6-6,235.0,7.0,9,Forward-Guard,Inactive,1610612758.0,Kings,Sacramento,1997.0,2003.0,N,Y,Y,1997,1,11,N,50.0,6.0,0
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,0,949.0,Shareef,Abdur-Rahim,California,USA,6-9,245.0,13.0,3,Forward,Inactive,1610612763.0,Grizzlies,Vancouver,1996.0,2007.0,N,Y,Y,1996,1,3,N,48.0,11.0,0
76005,Tom Abernethy,Tom,Abernethy,0,76005.0,Tom,Abernethy,Indiana,USA,6-7,220.0,5.0,5,Forward,Inactive,1610612744.0,Warriors,Golden State,1976.0,1980.0,N,Y,Y,1976,3,43,N,71.0,4.0,0
76006,Forest Able,Forest,Able,0,76006.0,Forest,Able,Western Kentucky,USA,6-3,180.0,1.0,6,Guard,Inactive,1610612755.0,Nationals,Syracuse,1956.0,1956.0,N,Y,Y,1956,,,N,93.0,0.0,0
76007,John Abramovic,John,Abramovic,0,76007.0,John,Abramovic,Salem,USA,6-3,195.0,2.0,,Forward,Inactive,1610610031.0,Ironmen,Pittsburgh,1946.0,1947.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,106.0,1.0,0
203518,Alex Abrines,Alex,Abrines,0,203518.0,Alex,Abrines,FC Barcelona,Spain,6-6,200.0,3.0,,Guard,Inactive,0.0,,,2016.0,2018.0,N,Y,Y,2013,2,32,N,32.0,2.0,0
1630173,Precious Achiuwa,Precious,Achiuwa,1,1630173.0,Precious,Achiuwa,Memphis,Nigeria,6-8,225.0,3.0,5,Forward,Active,1610612761.0,Raptors,Toronto,2020.0,2023.0,N,Y,Y,2020,1,20,N,26.0,3.0,0
101165,Alex Acker,Alex,Acker,0,101165.0,Alex,Acker,Pepperdine,USA,6-5,185.0,3.0,3,Guard,Inactive,1610612746.0,Clippers,Los Angeles,2005.0,2008.0,Y,Y,Y,2005,2,60,N,42.0,3.0,0
76008,Donald Ackerman,Donald,Ackerman,0,76008.0,Donald,Ackerman,Long Island-Brooklyn,USA,6-0,183.0,1.0,,Guard,Inactive,1610612752.0,Knicks,New York,1953.0,1953.0,N,Y,Y,1953,2,,N,95.0,0.0,0
76009,Mark Acres,Mark,Acres,0,76009.0,Mark,Acres,Oral Roberts,USA,6-11,220.0,6.0,42,Center,Inactive,1610612753.0,Magic,Orlando,1987.0,1992.0,N,Y,Y,1985,2,40,N,62.0,5.0,0
76010,Charles Acton,Charles,Acton,0,76010.0,Charles,Acton,Hillsdale,USA,6-6,210.0,1.0,24,Forward,Inactive,1610612745.0,Rockets,San Diego,1967.0,1967.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,83.0,0.0,0
203112,Quincy Acy,Quincy,Acy,0,203112.0,Quincy,Acy,Baylor,USA,6-7,240.0,7.0,,Forward,Inactive,0.0,,,2012.0,2018.0,Y,Y,Y,2012,2,37,N,35.0,6.0,0
76011,Alvan Adams,Alvan,Adams,0,76011.0,Alvan,Adams,Oklahoma,USA,6-9,210.0,13.0,33,Center,Inactive,1610612756.0,Suns,Phoenix,1975.0,1987.0,N,Y,Y,1975,1,4,N,71.0,12.0,0
