game_id,league_id,lead_changes,times_tied,team_id,team_abbreviation,team_city,pts_paint,pts_2nd_chance,pts_fb,largest_lead,team_turnovers,total_turnovers,team_rebounds,pts_off_to,venue
29600012,0,4,1,1610612756,PHX,Phoenix,44,18,2,1,0.0,12.0,11.0,,home
29600005,0,0,0,1610612737,ATL,Atlanta,32,9,6,0,1.0,24.0,7.0,,home
29600002,0,1,1,1610612739,CLE,Cleveland,36,14,6,20,0.0,15.0,5.0,,home
29600007,0,7,4,1610612754,IND,Indiana,34,11,4,10,0.0,18.0,8.0,,home
29600013,0,5,4,1610612746,LAC,Los Angeles,40,19,2,12,0.0,20.0,7.0,,home
29600009,0,8,3,1610612745,HOU,Houston,44,16,20,25,2.0,23.0,14.0,,home
29600014,0,3,3,1610612757,POR,Portland,62,24,19,35,0.0,17.0,11.0,,home
29600001,0,8,5,1610612738,BOS,Boston,48,18,15,16,0.0,18.0,11.0,,home
29600006,0,16,7,1610612761,TOR,Toronto,28,11,14,7,0.0,24.0,12.0,,home
29600003,0,4,5,1610612749,MIL,Milwaukee,46,27,9,14,1.0,15.0,14.0,,home
29600008,0,5,4,1610612759,SAS,San Antonio,28,2,15,5,1.0,18.0,8.0,,home
29600011,0,10,8,1610612762,UTA,Utah,32,16,13,11,0.0,9.0,8.0,,home
29600004,0,4,6,1610612764,WAS,Washington,48,9,20,5,0.0,16.0,13.0,,home
29600018,0,5,6,1610612748,MIA,Miami,32,13,15,12,0.0,19.0,15.0,,home
29600023,0,6,4,1610612746,LAC,Los Angeles,32,16,16,5,1.0,12.0,16.0,,home
29600017,0,5,7,1610612765,DET,Detroit,18,14,8,18,0.0,12.0,5.0,,home
29600019,0,2,2,1610612741,CHI,Chicago,42,13,21,34,0.0,16.0,8.0,,home
29600016,0,0,2,1610612766,CHH,Charlotte,46,15,8,0,0.0,17.0,9.0,,home
29600021,0,10,1,1610612742,DAL,Dallas,36,17,20,3,1.0,20.0,7.0,18.0,home
29600022,0,0,2,1610612756,PHX,Phoenix,42,12,15,0,0.0,5.0,12.0,,home
29600020,0,4,2,1610612749,MIL,Milwaukee,56,24,26,36,2.0,12.0,5.0,,home
29600025,0,0,0,1610612766,CHH,Charlotte,28,24,5,0,2.0,25.0,11.0,,home
29600028,0,5,4,1610612763,VAN,Vancouver,52,13,13,2,0.0,15.0,4.0,,home
29600027,0,7,6,1610612747,LAL,Los Angeles,58,11,18,9,1.0,22.0,8.0,,home
29600026,0,4,3,1610612743,DEN,Denver,38,16,15,20,1.0,17.0,6.0,,home
29600030,0,0,2,1610612737,ATL,Atlanta,28,8,9,25,0.0,16.0,6.0,,home
29600040,0,15,5,1610612737,ATL,Atlanta,30,18,17,26,0.0,15.0,7.0,,home
29600034,0,4,2,1610612739,CLE,Cleveland,40,13,8,17,2.0,17.0,14.0,,home
29600031,0,5,7,1610612752,NYK,New York,34,18,16,7,0.0,14.0,9.0,,home
29600038,0,0,1,1610612744,GSW,Golden State,32,16,6,0,1.0,21.0,11.0,,home
29600039,0,2,6,1610612745,HOU,Houston,38,7,8,29,1.0,22.0,11.0,,home
29600037,0,11,5,1610612756,PHX,Phoenix,42,15,12,6,0.0,14.0,7.0,,home
29600042,0,4,8,1610612759,SAS,San Antonio,44,14,18,7,1.0,12.0,6.0,,home
29600044,0,8,8,1610612766,CHH,Charlotte,40,10,13,0,0.0,10.0,8.0,,home
29600043,0,4,5,1610612748,MIA,Miami,42,19,8,15,1.0,14.0,8.0,,home
29600041,0,2,3,1610612754,IND,Indiana,38,10,14,26,1.0,24.0,3.0,,home
29600046,0,0,1,1610612749,MIL,Milwaukee,52,15,24,21,0.0,21.0,10.0,,home
29600045,0,2,2,1610612742,DAL,Dallas,30,18,8,8,0.0,14.0,9.0,,home
29600049,0,2,1,1610612756,PHX,Phoenix,38,9,12,3,0.0,19.0,5.0,,home
29600051,0,10,10,1610612758,SAC,Sacramento,34,11,20,13,0.0,16.0,5.0,,home
29600047,0,10,18,1610612751,NJN,New Jersey,42,32,20,8,0.0,21.0,5.0,,home
29600048,0,16,15,1610612745,HOU,Houston,40,19,7,9,3.0,17.0,14.0,,home
29600057,0,1,3,1610612747,LAL,Los Angeles,48,25,19,2,0.0,13.0,17.0,,home
29600059,0,3,3,1610612765,DET,Detroit,22,11,0,5,0.0,14.0,7.0,0.0,home
29600053,0,8,9,1610612755,PHI,Philadelphia,52,17,19,12,1.0,18.0,20.0,,home
29600062,0,2,4,1610612752,NYK,New York,26,15,8,12,0.0,32.0,10.0,,home
29600055,0,9,7,1610612751,NJN,New Jersey,46,14,15,4,1.0,22.0,4.0,,home
29600054,0,1,2,1610612764,WAS,Washington,54,27,17,4,0.0,7.0,9.0,,home
29600056,0,4,8,1610612748,MIA,Miami,42,14,10,19,0.0,17.0,6.0,,home
29600058,0,2,3,1610612763,VAN,Vancouver,36,13,13,2,1.0,15.0,7.0,,home
29600065,0,20,10,1610612754,IND,Indiana,48,17,18,4,0.0,18.0,9.0,,home
29600064,0,11,8,1610612766,CHH,Charlotte,30,5,5,0,0.0,10.0,8.0,,home
29600066,0,6,7,1610612738,BOS,Boston,32,15,12,10,1.0,27.0,11.0,,home
29600063,0,0,0,1610612756,PHX,Phoenix,38,9,5,0,1.0,19.0,14.0,,home
29600068,0,12,14,1610612745,HOU,Houston,42,10,6,9,1.0,16.0,12.0,,home
29600074,0,13,8,1610612752,NYK,New York,46,13,15,24,0.0,17.0,8.0,,home
29600072,0,8,8,1610612747,LAL,Los Angeles,46,16,15,12,0.0,16.0,10.0,,home
29600070,0,15,2,1610612739,CLE,Cleveland,40,15,6,29,0.0,16.0,6.0,16.0,home
29600071,0,5,4,1610612750,MIN,Minnesota,20,11,2,7,0.0,15.0,9.0,,home
29600073,0,2,0,1610612759,SAS,San Antonio,42,7,9,1,0.0,10.0,7.0,,home
29600076,0,12,5,1610612741,CHI,Chicago,36,15,10,20,0.0,11.0,5.0,,home
29600075,0,1,1,1610612743,DEN,Denver,28,9,14,23,2.0,28.0,15.0,,home
29600084,0,6,2,1610612750,MIN,Minnesota,46,21,13,13,0.0,15.0,14.0,,home
29600086,0,12,13,1610612745,HOU,Houston,50,28,8,7,1.0,18.0,17.0,,home
29600088,0,1,2,1610612763,VAN,Vancouver,26,15,11,20,0.0,17.0,3.0,,home
29600085,0,3,1,1610612754,IND,Indiana,30,10,10,8,1.0,20.0,9.0,,home
29600081,0,1,3,1610612748,MIA,Miami,60,27,12,16,0.0,14.0,6.0,,home
29600083,0,9,13,1610612756,PHX,Phoenix,48,8,17,9,0.0,19.0,8.0,,home
29600087,0,10,9,1610612760,SEA,Seattle,70,13,16,20,0.0,9.0,14.0,,home
29600082,0,9,5,1610612739,CLE,Cleveland,26,14,6,7,0.0,18.0,7.0,,home
29600079,0,15,17,1610612755,PHI,Philadelphia,28,18,5,8,0.0,16.0,17.0,,home
29600092,0,3,6,1610612757,POR,Portland,32,14,4,4,0.0,21.0,11.0,,home
29600089,0,1,1,1610612738,BOS,Boston,44,6,30,27,3.0,25.0,5.0,,home
29600090,0,8,4,1610612751,NJN,New Jersey,52,19,8,5,0.0,31.0,4.0,,home
29600096,0,0,3,1610612762,UTA,Utah,46,11,7,39,0.0,16.0,12.0,,home
29600095,0,1,4,1610612759,SAS,San Antonio,46,17,19,20,2.0,22.0,7.0,,home
29600094,0,5,3,1610612748,MIA,Miami,28,6,6,2,0.0,15.0,8.0,,home
29600099,0,5,5,1610612742,DAL,Dallas,48,16,17,8,0.0,21.0,10.0,,home
