person_id,full_name,country,position,height,weight,edad,años_jugando,undrafted,team_id
76001.0,Alaa Abdelnaby,USA,Forward,6-10,240.0,57.0,4.0,0,1610612757.0
76003.0,Kareem Abdul-Jabbar,USA,Center,7-2,225.0,78.0,19.0,0,1610612747.0
1505.0,Tariq Abdul-Wahad,France,Forward-Guard,6-6,235.0,50.0,6.0,0,1610612758.0
949.0,Shareef Abdur-Rahim,USA,Forward,6-9,245.0,48.0,11.0,0,1610612763.0
76005.0,Tom Abernethy,USA,Forward,6-7,220.0,71.0,4.0,0,1610612744.0
76006.0,Forest Able,USA,Guard,6-3,180.0,93.0,0.0,0,1610612755.0
76007.0,John Abramovic,USA,Forward,6-3,195.0,106.0,1.0,0,1610610031.0
203518.0,Alex Abrines,Spain,Guard,6-6,200.0,32.0,2.0,0,0.0
1630173.0,Precious Achiuwa,Nigeria,Forward,6-8,225.0,26.0,3.0,0,1610612761.0
101165.0,Alex Acker,USA,Guard,6-5,185.0,42.0,3.0,0,1610612746.0
76008.0,Donald Ackerman,USA,Guard,6-0,183.0,95.0,0.0,0,1610612752.0
76009.0,Mark Acres,USA,Center,6-11,220.0,62.0,5.0,0,1610612753.0
76010.0,Charles Acton,USA,Forward,6-6,210.0,83.0,0.0,0,1610612745.0
203112.0,Quincy Acy,USA,Forward,6-7,240.0,35.0,6.0,0,0.0
76011.0,Alvan Adams,USA,Center,6-9,210.0,71.0,12.0,0,1610612756.0
76012.0,Don Adams,USA,Forward,6-7,210.0,77.0,6.0,0,1610612765.0
200801.0,Hassan Adams,USA,Forward,6-4,220.0,41.0,2.0,0,0.0
1629121.0,Jaylen Adams,USA,Guard,6-0,225.0,29.0,2.0,0,0.0
203919.0,Jordan Adams,USA,Guard,6-5,209.0,31.0,1.0,0,1610612763.0
149.0,Michael Adams,USA,Guard,5-10,165.0,62.0,10.0,0,1610612743.0
203500.0,Steven Adams,New Zealand,Center,6-11,265.0,32.0,10.0,0,1610612763.0
912.0,Rafael Addison,USA,Forward,6-8,241.0,61.0,10.0,0,1610612751.0
1628389.0,Bam Adebayo,USA,Center-Forward,6-9,255.0,28.0,6.0,0,1610612748.0
1629061.0,Deng Adel,South Sudan,Forward,6-7,200.0,28.0,0.0,0,1610612739.0
76015.0,Rick Adelman,USA,Guard,6-2,175.0,79.0,6.0,0,1610612757.0
202399.0,Jeff Adrien,USA,Desconocido,Desconocido,210.0,39.0,4.0,0,0.0
201167.0,Arron Afflalo,USA,Guard,6-5,210.0,40.0,10.0,0,1610612743.0
1630534.0,Ochai Agbaji,USA,Guard,6-5,215.0,25.0,1.0,0,1610612762.0
200772.0,Maurice Ager,USA,Forward-Guard,6-5,202.0,41.0,4.0,0,0.0
76016.0,Mark Aguirre,USA,Forward,6-6,232.0,65.0,12.0,0,1610612742.0
201336.0,Blake Ahearn,USA,Guard,6-2,190.0,41.0,4.0,0,1610612748.0
