id,full_name,first_name,last_name,is_active,person_id,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
76001,Alaa Abdelnaby,Alaa,Abdelnaby,0,76001.0,Alaa Abdelnaby,"Abdelnaby, Alaa",A. Abdelnaby,alaa-abdelnaby,1968-06-24,Duke,USA,Duke/USA,"6,10",24.0,5.0,30,Forward,Inactive,1610612757.0,Trail Blazers,POR,blazers,Portland,HISTADD_alaa_abdelnaby,1990.0,1994.0,N,Y,Y,1990.0,1,25,N
76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,0,76003.0,Kareem Abdul-Jabbar,"Abdul-Jabbar, Kareem",K. Abdul-Jabbar,kareem-abdul-jabbar,1947-04-16,UCLA,USA,UCLA/USA,"7,2",22.5,20.0,33,Center,Inactive,1610612747.0,Lakers,LAL,lakers,Los Angeles,HISTADD_kareem_abdul-jabbar,1969.0,1988.0,N,Y,Y,1969.0,1,1,Y
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,0,1505.0,Tariq Abdul-Wahad,"Abdul-Wahad, Tariq",T. Abdul-Wahad,tariq-abdul-wahad,1974-11-03,San Jose State,France,San Jose State/France,"6,6",23.5,7.0,9,Forward-Guard,Inactive,1610612758.0,Kings,SAC,kings,Sacramento,tariq_abdul-wahad,1997.0,2003.0,N,Y,Y,1997.0,1,11,N
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,0,949.0,Shareef Abdur-Rahim,"Abdur-Rahim, Shareef",S. Abdur-Rahim,shareef-abdur-rahim,1976-12-11,California,USA,California/USA,"6,9",24.5,13.0,3,Forward,Inactive,1610612763.0,Grizzlies,VAN,grizzlies,Vancouver,shareef_abdur-rahim,1996.0,2007.0,N,Y,Y,1996.0,1,3,N
76005,Tom Abernethy,Tom,Abernethy,0,76005.0,Tom Abernethy,"Abernethy, Tom",T. Abernethy,tom-abernethy,1954-05-06,Indiana,USA,Indiana/USA,"6,7",22.0,5.0,5,Forward,Inactive,1610612744.0,Warriors,GOS,warriors,Golden State,HISTADD_tom_abernethy,1976.0,1980.0,N,Y,Y,1976.0,3,43,N
76006,Forest Able,Forest,Able,0,76006.0,Forest Able,"Able, Forest",F. Able,forest-able,1932-07-27,Western Kentucky,USA,Western Kentucky/USA,"6,3",18.0,1.0,6,Guard,Inactive,1610612755.0,Nationals,PHI,sixers,Syracuse,HISTADD_frosty_able,1956.0,1956.0,N,Y,Y,1956.0,Desconocido,Desconocido,N
76007,John Abramovic,John,Abramovic,0,76007.0,John Abramovic,"Abramovic, John",J. Abramovic,john-abramovic,1919-02-09,Salem,USA,Salem/USA,"6,3",19.5,2.0,Desconocido,Forward,Inactive,1610610031.0,Ironmen,PIT,ironmen,Pittsburgh,HISTADD_brooms_abramovic,1946.0,1947.0,N,Y,Y,1988.0,Undrafted,Undrafted,N
203518,Alex Abrines,Alex,Abrines,0,203518.0,Alex Abrines,"Abrines, Alex",A. Abrines,alex-abrines,1993-08-01,FC Barcelona,Spain,FC Barcelona/Spain,"6,6",20.0,3.0,Desconocido,Guard,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,alex_abrines,2016.0,2018.0,N,Y,Y,2013.0,2,32,N
