full_name,first_name,last_name,is_active,person_id,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_abbreviation,team_city,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
Alaa Abdelnaby,Alaa,Abdelnaby,0,76001,1968-06-24,Duke,USA,Duke/USA,"6,10",24.0,5,30,Forward,Inactive,1610612757,Trail Blazers,POR,Portland,1990,1994,N,Y,Y,1990,1,25,N
Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,0,76003,1947-04-16,UCLA,USA,UCLA/USA,"7,2",22.5,20,33,Center,Inactive,1610612747,Lakers,LAL,Los Angeles,1969,1988,N,Y,Y,1969,1,1,Y
Tariq Abdul-Wahad,Tariq,Abdul-Wahad,0,1505,1974-11-03,San Jose State,France,San Jose State/France,"6,6",23.5,7,9,Forward-Guard,Inactive,1610612758,Kings,SAC,Sacramento,1997,2003,N,Y,Y,1997,1,11,N
Shareef Abdur-Rahim,Shareef,Abdur-Rahim,0,949,1976-12-11,California,USA,California/USA,"6,9",24.5,13,3,Forward,Inactive,1610612763,Grizzlies,VAN,Vancouver,1996,2007,N,Y,Y,1996,1,3,N
Tom Abernethy,Tom,Abernethy,0,76005,1954-05-06,Indiana,USA,Indiana/USA,"6,7",22.0,5,5,Forward,Inactive,1610612744,Warriors,GOS,Golden State,1976,1980,N,Y,Y,1976,3,43,N
Forest Able,Forest,Able,0,76006,1932-07-27,Western Kentucky,USA,Western Kentucky/USA,"6,3",18.0,1,6,Guard,Inactive,1610612755,Nationals,PHI,Syracuse,1956,1956,N,Y,Y,1956,Desconocido,Desconocido,N
John Abramovic,John,Abramovic,0,76007,1919-02-09,Salem,USA,Salem/USA,"6,3",19.5,2,Desconocido,Forward,Inactive,1610610031,Ironmen,PIT,Pittsburgh,1946,1947,N,Y,Y,1988,Undrafted,Undrafted,N
Alex Abrines,Alex,Abrines,0,203518,1993-08-01,FC Barcelona,Spain,FC Barcelona/Spain,"6,6",20.0,3,Desconocido,Guard,Inactive,0,Desconocido,Desconocido,Desconocido,2016,2018,N,Y,Y,2013,2,32,N
Precious Achiuwa,Precious,Achiuwa,1,1630173,1999-09-19,Memphis,Nigeria,Memphis/Nigeria,"6,8",22.5,3,5,Forward,Active,1610612761,Raptors,TOR,Toronto,2020,2023,N,Y,Y,2020,1,20,N
Alex Acker,Alex,Acker,0,101165,1983-01-21,Pepperdine,USA,Pepperdine/USA,"6,5",18.5,3,3,Guard,Inactive,1610612746,Clippers,LAC,Los Angeles,2005,2008,Y,Y,Y,2005,2,60,N
