id,full_name,nickname,city,state,year_founded
1610612737,Atlanta Hawks,Hawks,Atlanta,Atlanta,1949.0
1610612738,Boston Celtics,Celtics,Boston,Massachusetts,1946.0
1610612739,Cleveland Cavaliers,Cavaliers,Cleveland,Ohio,1970.0
1610612740,New Orleans Pelicans,Pelicans,New Orleans,Louisiana,2002.0
1610612741,Chicago Bulls,Bulls,Chicago,Illinois,1966.0
1610612742,Dallas Mavericks,Mavericks,Dallas,Texas,1980.0
1610612743,Denver Nuggets,Nuggets,Denver,Colorado,1976.0
1610612744,Golden State Warriors,Warriors,Golden State,California,1946.0
1610612745,Houston Rockets,Rockets,Houston,Texas,1967.0
1610612746,Los Angeles Clippers,Clippers,Los Angeles,California,1970.0
1610612747,Los Angeles Lakers,Lakers,Los Angeles,California,1948.0
1610612748,Miami Heat,Heat,Miami,Florida,1988.0
1610612749,Milwaukee Bucks,Bucks,Milwaukee,Wisconsin,1968.0
1610612750,Minnesota Timberwolves,Timberwolves,Minnesota,Minnesota,1989.0
1610612751,Brooklyn Nets,Nets,Brooklyn,New York,1976.0
1610612752,New York Knicks,Knicks,New York,New York,1946.0
1610612753,Orlando Magic,Magic,Orlando,Florida,1989.0
1610612754,Indiana Pacers,Pacers,Indiana,Indiana,1976.0
1610612755,Philadelphia 76ers,76ers,Philadelphia,Pennsylvania,1949.0
1610612756,Phoenix Suns,Suns,Phoenix,Arizona,1968.0
1610612757,Portland Trail Blazers,Trail Blazers,Portland,Oregon,1970.0
1610612758,Sacramento Kings,Kings,Sacramento,California,1948.0
1610612759,San Antonio Spurs,Spurs,San Antonio,Texas,1976.0
1610612760,Oklahoma City Thunder,Thunder,Oklahoma City,Oklahoma,1967.0
1610612761,Toronto Raptors,Raptors,Toronto,Ontario,1995.0
1610612762,Utah Jazz,Jazz,Utah,Utah,1974.0
1610612763,Memphis Grizzlies,Grizzlies,Memphis,Tennessee,1995.0
1610612764,Washington Wizards,Wizards,Washington,District of Columbia,1961.0
1610612765,Detroit Pistons,Pistons,Detroit,Michigan,1948.0
1610612766,Charlotte Hornets,Hornets,Charlotte,North Carolina,1988.0
